排名,分类,书名,周点击,作者,更新时间,等级,链接,性质,总点击,月点击,周点击,总推荐,月推荐,周推荐,字数
1,两宋元明,夜天子,82211,月关,2014-08-20 16:17, 作家等级：LV7 ,http://www.qidian.com/Book/3234652.aspx,公众作品,909659,527212,71604,202040,202040,202040,250572
2,奇幻修真,造化之门,71641,鹅是老五,2014-08-20 14:00, 作家等级：LV6 ,http://www.qidian.com/Book/3195551.aspx,         VIP作品 ,5258173,1400157,164702,600078,600078,600078,550821
3,架空历史,医统江山,56525,石章鱼,2014-08-20 16:01, 作家等级：LV7 ,http://www.qidian.com/Book/3218385.aspx,公众作品,188231,188231,180064,23891,23891,23891,47713
4,古典仙侠,我欲封天,48801,耳根,2014-08-20 16:50, 作家等级：LV7 ,http://www.qidian.com/Book/3106580.aspx,         VIP作品 ,10079379,960624,142265,1027068,1027068,1027068,1369779
5,异术超能,纨绔毒医,44492,晨光路西法,2014-08-20 18:13, 作家等级：LV4 ,http://www.qidian.com/Book/3210975.aspx,公众作品,1015234,642774,122271,35045,35045,35045,226370
6,时空穿梭,异常生物见闻录,41119,远瞳,2014-08-20 18:42, 作家等级：LV4 ,http://www.qidian.com/Book/3242304.aspx,公众作品,159135,148542,25767,44506,44506,44506,114995
7,都市生活,渔夫传奇,38656,山村户口,2014-08-20 08:40, 作家等级：LV2 ,http://www.qidian.com/Book/3241453.aspx,公众作品,258320,246839,61357,25500,25500,25500,152108
8,都市生活,窥阴阳,36553,三水淼,2014-08-20 08:47,No Level,http://www.qidian.com/Book/3205223.aspx,公众作品,616523,313523,100687,34756,34756,34756,325336
9,奇幻修真,仙道之主,36442,雾外江山,2014-08-20 18:00, 作家等级：LV5 ,http://www.qidian.com/Book/3228561.aspx,公众作品,968906,657538,93658,31310,31310,31310,259188
10,东方玄幻,绝代霸主,34799,岳龙鹏,2014-08-19 20:13,No Level,http://www.qidian.com/Book/3213519.aspx,公众作品,984769,799412,109255,49355,49355,49355,273629
11,东方玄幻,惟我神尊,33106,傲无常,2014-08-20 16:19, 作家等级：LV6 ,http://www.qidian.com/Book/3174216.aspx,         VIP作品 ,5952384,695983,110034,612129,612129,612129,900221
12,异界大陆,唯我道尊,32547,火树嘎嘎,2014-08-20 15:19, 作家等级：LV3 ,http://www.qidian.com/Book/3259149.aspx,公众作品,115193,115193,84390,6887,6887,6887,82658
13,东方玄幻,独步,30799,蓝领笑笑生,2014-08-20 02:35, 作家等级：LV3 ,http://www.qidian.com/Book/3068255.aspx,         VIP作品 ,3698135,581798,90538,150259,150259,150259,1116363
14,都市生活,超品相师,30617,九灯和善,2014-08-20 17:31,No Level,http://www.qidian.com/Book/3079913.aspx,         VIP作品 ,500790,50045,24929,19180,19180,19180,1454690
15,异术超能,星际网购大时代,24285,七七道人,2014-08-20 16:35,No Level,http://www.qidian.com/Book/3224660.aspx,公众作品,171817,149219,24539,6344,6344,6344,351004
16,东方玄幻,天醒之路,23186,蝴蝶蓝,2014-08-20 02:49, 作家等级：LV6 ,http://www.qidian.com/Book/3206900.aspx,         VIP作品 ,2449917,652395,39345,338159,338159,338159,292410
17,东方玄幻,一世之尊,21015,爱潜水的乌贼,2014-08-20 18:29, 作家等级：LV6 ,http://www.qidian.com/Book/3249362.aspx,公众作品,29369,29369,20039,10414,10414,10414,53238
18,游戏异界,死神逃学日记,20567,不可沽名学霸王,2014-08-20 18:07,No Level,http://www.qidian.com/Book/3252277.aspx,公众作品,106524,106524,19119,16304,16304,16304,104465
19,电子竞技,变身最强主播,20541, 蒙着面的Sama ,2014-08-20 16:01,No Level,http://www.qidian.com/Book/3218995.aspx,公众作品,166552,128448,28144,10034,10034,10034,232756
20,虚拟网游,超级包裹,19371,沉默不是低调,2014-08-20 14:37, 作家等级：LV1 ,http://www.qidian.com/Book/3230822.aspx,公众作品,139881,126003,17349,5836,5836,5836,233264
21,娱乐明星,重生功夫巨星,19334,将臣之名,2014-08-20 12:05, 作家等级：LV1 ,http://www.qidian.com/Book/3218480.aspx,公众作品,285981,175211,26820,15500,15500,15500,233061
22,游戏异界,法师驾到,19243,睡到十三点,2014-08-20 12:05, 作家等级：LV2 ,http://www.qidian.com/Book/2898476.aspx,         VIP作品 ,867582,103628,69611,54757,54757,54757,1285672
23,异术超能,他从末世来,19101,竹茶,2014-08-20 17:18,No Level,http://www.qidian.com/Book/3230825.aspx,公众作品,102492,101520,28634,6953,6953,6953,260387
24,两晋隋唐,我家后院是唐朝,19042,背着家的蜗牛,2014-08-20 11:57,No Level,http://www.qidian.com/Book/3218982.aspx,公众作品,264619,217534,27609,6633,6633,6633,298866
25,时空穿梭,站在食物链顶端的男人,19041,大笨淡,2014-08-20 17:13,No Level,http://www.qidian.com/Book/3193543.aspx,         VIP作品 ,562945,362099,45236,40357,40357,40357,421556
26,异术超能,三界超市,18989,房产大亨,2014-08-20 12:22,No Level,http://www.qidian.com/Book/3244074.aspx,公众作品,105418,105094,27157,4104,4104,4104,176055
